adm1_pcode,departamento,value
PE25,Ucayali,49
PE16,Loreto,43.8
PE17,Madre de Dios,36.9
PE22,San Martín,27.5
PE24,Tumbes,27
PE10,Huanuco,24
PE01,Amazonas,23.6
PE19,Pasco,22.9
PE06,Cajamarca,21.1
PE09,Huancavelica,21.1
PE20,Piura,20.3
PE12,Junin,19.3
PE13,La Libertad,19.1
PE05,Ayacucho,16.3
PE02,Ancash,16
PE14,Lambayeque,15.4
PE11,Ica,14.7
PE03,Apurimac,13.8
PE08,Cusco,12.7
PE07,Callao,11.2
PE15,Lima,9.2
PE21,Puno,8.9
PE18,Moquegua,8.2
PE04,Arequipa,7.3
PE23,Tacna,6.1
